Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Return
XLB,2022/2/1,84.879997,85.949997,84.419998,85.75,83.457916,9304200,0.015
XLB,2022/2/2,85.730003,86.400002,85.269997,86.019997,83.720703,7079400,0.003
XLB,2022/2/3,85.269997,85.889999,84.379997,84.519997,82.260788,7771300,-0.017
XLB,2022/2/4,83.379997,84.050003,82.629997,83.120003,80.898232,11688100,-0.017
XLB,2022/2/7,83.290001,83.489998,82.43,82.709999,80.499184,12627700,-0.005
XLB,2022/2/8,83.040001,84.139999,82.870003,83.989998,81.744965,7750900,0.015
XLB,2022/2/9,84.82,85.949997,84.790001,85.82,83.526054,10734600,0.022
XLB,2022/2/10,85.510002,87.220001,84.900002,85.32,83.039413,13311000,-0.006
XLB,2022/2/11,84.889999,85.669998,83.720001,84,81.7547,12633200,-0.015
XLB,2022/2/14,84.059998,84.139999,82.68,83.309998,81.08313,9448400,-0.008
XLB,2022/2/15,83.889999,84.970001,83.800003,84.839996,82.572235,6675500,0.018
XLB,2022/2/16,84.75,85.639999,84.589996,85.459999,83.175667,7839000,0.007
XLB,2022/2/17,84.580002,84.839996,83.709999,84,81.7547,6541900,-0.017
XLB,2022/2/18,84.18,84.620003,83.389999,83.860001,81.618439,8964800,-0.002
XLB,2022/2/22,83.459999,83.82,81.989998,82.669998,80.460251,10654400,-0.014
XLB,2022/2/23,83.199997,83.5,81.489998,81.610001,79.428574,9581100,-0.013
XLB,2022/2/24,79.769997,81.599998,79.379997,81.370003,79.194984,15903500,-0.003
XLB,2022/2/25,81.739998,84.379997,81.669998,84.339996,82.085602,11129200,0.037
XLB,2022/2/28,83.040001,83.949997,82.57,83.379997,81.15126,11230200,-0.011
XLB,2022/3/1,83.139999,83.790001,80.970001,81.459999,79.282593,13131900,-0.023
XLB,2022/3/2,81.959999,83.709999,81.769997,83.25,81.024742,9571400,0.022
XLB,2022/3/3,83.989998,84.290001,82.510002,83.349998,81.122063,9735800,0.001
XLB,2022/3/4,82.330002,83.099998,81.68,83.059998,80.839813,8664500,-0.003
XLB,2022/3/7,82.830002,82.889999,80.169998,80.18,78.036797,10913200,-0.035
XLB,2022/3/8,80.290001,81.449997,79.290001,79.769997,77.637756,12994900,-0.005
XLB,2022/3/9,81.089996,82.730003,80.650002,82.239998,80.041733,10313100,0.031
XLB,2022/3/10,81.389999,82.57,81.279999,82.459999,80.255859,7795000,0.003
XLB,2022/3/11,82.57,83.279999,81.779999,81.849998,79.662163,6931400,-0.007
XLB,2022/3/14,82.379997,82.910004,81.32,81.730003,79.54538,7815400,-0.001
XLB,2022/3/15,81.769997,82.830002,81.220001,82.669998,80.460251,9084800,0.012
XLB,2022/3/16,83.599998,84.760002,82.279999,83.970001,81.725494,11946600,0.016
XLB,2022/3/17,83.690002,85.620003,83.580002,85.580002,83.292458,7051500,0.019
XLB,2022/3/18,85.160004,86.25,84.93,86.099998,83.798561,9621100,0.006
XLB,2022/3/21,86.129997,86.870003,85.919998,86.489998,84.49511,8879700,0.008
XLB,2022/3/22,87.150002,87.510002,86.639999,86.959999,84.954277,6965900,0.005
XLB,2022/3/23,86.75,87.150002,86.449997,86.559998,84.563499,5789400,-0.005
XLB,2022/3/24,87.099998,88.339996,87.029999,88.300003,86.263374,5452600,0.02
XLB,2022/3/25,88.5,89.339996,88.339996,89.290001,87.23053,5025000,0.011
XLB,2022/3/28,88.959999,89.019997,88.010002,88.889999,86.83976,5353400,-0.004
XLB,2022/3/29,88.970001,89.639999,88.300003,89.639999,87.572464,7828100,0.008
XLB,2022/3/30,89.669998,89.830002,88.910004,89.339996,87.279381,4483600,-0.003
XLB,2022/3/31,88.970001,89.639999,88.139999,88.150002,86.116829,5299700,-0.013
