Ticker,Date,Return,Event
XLB,2022-05-25,0.004,Event 5
XLE,2022-05-25,0.021,Event 5
XLF,2022-05-25,0.008,Event 5
XLI,2022-05-25,0.0058,Event 5
XLK,2022-05-25,0.012,Event 5
XLP,2022-05-25,0.000272765,Event 5
XLRE,2022-05-25,0.0055,Event 5
XLU,2022-05-25,-0.0007,Event 5
XLV,2022-05-25,-0.0003,Event 5
XLY,2022-05-25,0.0282,Event 5
XLC,2022-05-25,0.0134,Event 5
XLB,2022-05-26,0.018,Event 5
XLE,2022-05-26,0.011,Event 5
XLF,2022-05-26,0.0231,Event 5
XLI,2022-05-26,0.0203,Event 5
XLK,2022-05-26,0.024,Event 5
XLP,2022-05-26,0.010632432,Event 5
XLRE,2022-05-26,-0.0011,Event 5
XLU,2022-05-26,0.0028,Event 5
XLV,2022-05-26,0.0043,Event 5
XLY,2022-05-26,0.049,Event 5
XLC,2022-05-26,0.0243,Event 5
XLB,2022-05-27,0.023,Event 5
XLE,2022-05-27,0.018,Event 5
XLF,2022-05-27,0.0169,Event 5
XLI,2022-05-27,0.0205,Event 5
XLK,2022-05-27,0.034,Event 5
XLP,2022-05-27,0.01159986,Event 5
XLRE,2022-05-27,0.0282,Event 5
XLU,2022-05-27,0.0156,Event 5
XLV,2022-05-27,0.0166,Event 5
XLY,2022-05-27,0.0343,Event 5
XLC,2022-05-27,0.0214,Event 5
XLB,2022-05-31,-0.015,Event 6
XLE,2022-05-31,-0.015,Event 6
XLF,2022-05-31,-0.0028,Event 6
XLI,2022-05-31,-0.0081,Event 6
XLK,2022-05-31,-0.007,Event 6
XLP,2022-05-31,-0.007066816,Event 6
XLRE,2022-05-31,-0.0134,Event 6
XLU,2022-05-31,-0.0138,Event 6
XLV,2022-05-31,-0.0134,Event 6
XLY,2022-05-31,0.0051,Event 6
XLC,2022-05-31,-0.0007,Event 6
XLB,2022-06-01,-0.01,Event 6
XLE,2022-06-01,0.016,Event 6
XLF,2022-06-01,-0.0161,Event 6
XLI,2022-06-01,-0.0061,Event 6
XLK,2022-06-01,-0.003,Event 6
XLP,2022-06-01,-0.013025329,Event 6
XLRE,2022-06-01,-0.0109,Event 6
XLU,2022-06-01,-0.0016,Event 6
XLV,2022-06-01,-0.0144,Event 6
XLY,2022-06-01,-0.0104,Event 6
XLC,2022-06-01,-0.0115,Event 6
XLB,2022-06-02,0.028,Event 6
XLE,2022-06-02,-0.003,Event 6
XLF,2022-06-02,0.0138,Event 6
XLI,2022-06-02,0.0191,Event 6
XLK,2022-06-02,0.024,Event 6
XLP,2022-06-02,0.014557888,Event 6
XLRE,2022-06-02,0.0151,Event 6
XLU,2022-06-02,0.0067,Event 6
XLV,2022-06-02,0.0079,Event 6
XLY,2022-06-02,0.0306,Event 6
XLC,2022-06-02,0.0244,Event 6
XLB,2022-06-03,-0.01,Event 6
XLE,2022-06-03,0.013,Event 6
XLF,2022-06-03,-0.0144,Event 6
XLI,2022-06-03,-0.0039,Event 6
XLK,2022-06-03,-0.024,Event 6
XLP,2022-06-03,-0.010057775,Event 6
XLRE,2022-06-03,-0.0126,Event 6
XLU,2022-06-03,-0.0048,Event 6
XLV,2022-06-03,-0.0117,Event 6
XLY,2022-06-03,-0.0292,Event 6
XLC,2022-06-03,-0.0217,Event 6
XLB,2022-06-06,0.009,Event 6
XLE,2022-06-06,-0.001,Event 6
XLF,2022-06-06,0.0029,Event 6
XLI,2022-06-06,0.0042,Event 6
XLK,2022-06-06,0.0,Event 6
XLP,2022-06-06,0.000406439,Event 6
XLRE,2022-06-06,-0.003,Event 6
XLU,2022-06-06,0.0044,Event 6
XLV,2022-06-06,0.0002,Event 6
XLY,2022-06-06,0.01,Event 6
XLC,2022-06-06,0.005,Event 6
XLB,2022-06-07,0.007,Event 6
XLE,2022-06-07,0.03,Event 6
XLF,2022-06-07,0.0077,Event 6
XLI,2022-06-07,0.0134,Event 6
XLK,2022-06-07,0.012,Event 6
XLP,2022-06-07,0.005280998,Event 6
XLRE,2022-06-07,0.0117,Event 6
XLU,2022-06-07,0.006,Event 6
XLV,2022-06-07,0.013,Event 6
XLY,2022-06-07,-0.0025,Event 6
XLC,2022-06-07,0.0072,Event 6
XLB,2022-06-08,-0.021,Event 6
XLE,2022-06-08,0.002,Event 6
XLF,2022-06-08,-0.0176,Event 6
XLI,2022-06-08,-0.0181,Event 6
XLK,2022-06-08,-0.011,Event 6
XLP,2022-06-08,-0.012257514,Event 6
XLRE,2022-06-08,-0.024,Event 6
XLU,2022-06-08,-0.0196,Event 6
XLV,2022-06-08,-0.0079,Event 6
XLY,2022-06-08,-0.0059,Event 6
XLC,2022-06-08,-0.0027,Event 6
XLB,2022-06-09,-0.024,Event 6
XLE,2022-06-09,-0.022,Event 6
